аб;"(ав I, ай , аба мн. I, ар, мн. ;;PNCT
абагван;(абáгваᴴлъ,–аби);лопатка;NOUN
абагван;(абáгваᴴлъ,–аби);плечо;NOUN
абагьар;;масд. гл. абáгьила;UNKN
абагьар;(–лъ);отек;NOUN
а=б=агьи=ла;(–а,–ас̄,–абé,–б/о,–ӣйāх);опухать;INFN
абадийа=б;;вечный;ADJF
абадин-абада̄л̄ъир;;никогда;ADVB
абадин-абадил̄ъи;;никогда;ADVB
абарона;(–лъ/–лъилъ);оборона;NOUN
абарот;(–лъи лъ);оборот;NOUN
абат=ала;;;PNCT
абатар;;масд. гл. абáтила;UNKN
абатар;(–лъ);течка;NOUN
абатар;(–лъ);баловство;NOUN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);шевелить;INFN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);раскачивать;INFN
абататалар;;масд. гл. абататáйла;UNKN
абататалар;(–лъ);шевеление;NOUN
абататалар;(–лъ);раскачивание;NOUN
абататар;;масд. гл. абáтатила;UNKN
абататар;(–лъ);шевеление;NOUN
абататар;(–лъ);шатание;NOUN
абататар;(–лъ);подергивание;NOUN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шевелиться;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шататься;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);подергиваться;INFN
абат=а̄ла;;;PNCT
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);быть в течке;INFN
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);баловаться;INFN
абатит=або;;см. титвáдила;UNKN
абгунийа=б;;см. áбщинаб;UNKN
абдар;;масд. гл. áбдила;UNKN
абдар;(–лъ);чистка;NOUN
абди=ла;(–ø,–ас̄,–а,–б/о,–āх);чистить;INFN
абе;(авé I,айé , абá мн. I, арé мн. );вот;PRCL
абейав;;вот;PRCL
абейай;;вот;PRCL
аб̄е;;вот;PRCL
абицар=апицер;(–щу/б,–заби);офицер;NOUN
абицарлгьар;(–лъ);офицерство;NOUN
апицант;(–щу/б,–заби);официант;NOUN
абтабиагра̄пийа;(–лъ,–би);автобиография;NOUN
авт̄обуз;(–улъ,–аби);автобус;NOUN
абтобус;(–улъ,–аби);автобус;NOUN
абтамат;(–илъ,–аби);автомат;NOUN
абтаномийа;(–лъ);автономия;NOUN
абтаномийаб;;автономный;ADJF
абтар;(–щу/б,–лъилъ,–заби);автор;NOUN
абтека;(–лъилъ,–аби);аптека;NOUN
абтикар;(–щуб,–лъилъ);аптекарь;NOUN
а=б=це=бел;(–щу/б,–лъилъ , ,–арýб мн.I,–арýлъ мн. );этот;ADJF
абцеӀила=ацебӀир;;в последнее время;NOUN
абцекъа̄л̄ъир;;в последнее время;NOUN
абшижит;(–илъ,–аби);общежитие;NOUN
абщежитийа;(–илъ,–аби);общежитие;NOUN
абщина=б=ащина=б;;столько;NUMR
авадана=б;;веселый;ADJF
авал;(–лъ,–áби);дом;NOUN
авал-ахир;(–лъ);пределы;NOUN
авал-ахир;(–лъ);ясность;NOUN
авара;(–лъ,–би);препятствие;NOUN
авара;(–лъ,–би);хлопоты;NOUN
авараг;(–щу/б,–заби);пророк;NOUN
аварийа;(–лъ,–би);авария;NOUN
аванс;(–илъ,–аби);аванс;NOUN
аваᵸтура;(–лъ,–би);авантюра;NOUN
аваᵸтурист;(–щуб,–заби);авантюрист;NOUN
аваᵸтуриска;(–лъ,–би);авантюристка;NOUN
августбо̄с̄Ӏ;(–улъ);август;NOUN
авейав;;вот;PRCL
авейай;;вот;PRCL
агитатур;(–щу/б,–лъилъ,–заби);агитатор;NOUN
акитацийа;(–лъ);агитация;NOUN
агитпуᵸкут;(–улъ,–аби);агитпункт;NOUN
аграном;(–щу/б,–лъилъ);агроном;NOUN
агъаз;(–илъ);забота;NOUN
агъаз;(–илъ);важность;NOUN
агъазвачӀу=б;;беспечный;ADJF
агъазвачӀу=б;;неважный;ADJF
агь;(–илъ);виноград;NOUN
агьа̄рахӣс;;поверхностно;ADJS
агьа̄рахӣс;;поверхностный;ADJF
агьецӀа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);поднимать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);вставать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);подниматься;INFN
агьи;;наверх;ADVB
агьи;;выше;NOUN
агьи;;на;INTJ
агьибугьа=йла;(–л,–лас̄,–лá, л̄о,–лēх);повторять;INFN
агьикьи;;вниз;ADVB
агьикъайди=ла;(–ø,–ас̄,–бе,–б/о,–āх);поручать;INFN
агьикьимакӀва;(–лъ,–би);сад;NOUN
агьикьих̄у=б;;крутой;ADJF
агьила;;еще;PRCL
агьила;;напротив;ADVB
агьила;;вдобавок;ADVB
агьилалъа̄би;;в будущем году;NOUN
агьим;(–улъ,–аби);балка;NOUN
агьӣс;;сверху;PREP
агьӣс;;с;NOUN
агьӣс;;верхний;ADJF
агьӣс=ба=гъу=ла;(–ø, агьӣс̄багъвас̄, агьӣс̄багъва,–б/о, агьӣс̄багъвēх);просить прощения;INFN
агьӣс=б=елъила;(–ø,–ас̄,–бе,–б/о,–ēх);прощать;INFN
агьӣс=б=елъу=б;;ловкий;ADJF
агьихинди;;выше;NOUN
агьло;(–лъ/–лъилъ, собир.);люди;NOUN
агьо̄лела;(–улъ,–иби);тыльная сторона ладони;ADJF
адаб;(–илъ);вежливость;NOUN
адабе;;вот;PRCL
адабочӀу=б;;невоспитанный;ADJF
адабейав;;вот;PRCL
адабейай;;вот;PRCL
адабийат;(–илъ);литература;NOUN
адаб-хъатир;(–лъ);уважительность;NOUN
адабчӀана̄с;;вежливый;ADJF
адабида=б;;вежливый;ADJF
арам;(–улъ);человек;NOUN
адамвачӀу=б;;одинокий;ADJF
адамгьела=ба;;человечный;ADJF
адарейав;;вот;PRCL
адарейай;;вот;PRCL
адвакат;(–щу/б,–лъилъ,–заби);адвокат;NOUN
адийал;(–лъ,–аби);одеяло;NOUN
адикалон;(адикалóНлъ/адикалóНлъилъ,–аби);одеколон;NOUN
адрис;(–илъ,–аби);адрес;NOUN
а̄деленийа;(–лъ,–би);отделение;NOUN
а̄дил;(–лъилъ,–аби);отдел;NOUN
адж̄и=ла;(–ø,–ēс̄,–ē, б/о,–ийāх);поцеловать;INFN
азал;(–лъ,–аби);долото;NOUN
азалийа=б;;вечный;ADJF
азалийа=б;;предопределенный;PRTF
азалу=б;;постный;ADJF
азалъ;(–улъ,–аби);дверная коробка;ADJF
азарда;;тысяча;NOUN
азарда̄л̄ъир;;тысяча;NOUN
азарчӀекӀу=б;;тысяча;NOUN
азбар;(–лъ,–ал);двор;NOUN
аздагьо;(–лъ, аздагьвáби);дракон;NOUN
аздагьо;(–лъ, аздагьвáби);злой человек;ADJF
азербижана=в;(–щу/б,–ди);азербайджанец;NOUN
азербижанади;(–уб);азербайджанцы;NOUN
азербижанай;(–л̄ъ̄илъ, азербижáнади);азербайджанка;NOUN
ази-азарда;;тысяча;NOUN
айат;(–илъ,–аби);стих;NOUN
ай̄е;;вот;PRCL
ай̄о;;вот;PRCL
айрадром;(–лъилъ,–аби);аэродром;NOUN
акв̄е=ла;(–ø,–с̄,–ø,–б/о,–йāх);косить;INFN
акве̄р;(–лъилъ);жатва;NOUN
акийан;(акийáНлъилъ,–аби);океан;NOUN
акта;(–лъ,–би);акт;NOUN
актабирбо̄с̄Ӏ;(–улъ);октябрь;NOUN
акушерка;(–лъ,–би);акушерка;NOUN
акъвакь;(–илъ,–аби);навес;NOUN
акъвар;;масд. гл. áкъула;UNKN
акъвар;(–лъ);кровля;NOUN
акъо;(–лъ,–би);конура;NOUN
акъо;(–лъ,–би);шалаш;NOUN
акъо;(–лъ,–би);лачуга;NOUN
акӀвама=аркӀвама;(–лъ,–би);стреха;NOUN
акӀвама=аркӀвама;(–лъ,–би);козырек;NOUN
акӀвама=аркӀвама;(–лъ,–би);фуражка;NOUN
ал;(–илъ,–аби);лист;NOUN
ал;(–илъ,–аби);листва;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);стойло;NOUN
алара;(–лъ,–би);стог;NOUN
алат;(–илъ, собир.);инструмент;NOUN
алахъ;(–лъилъ,–аби);глушь;NOUN
алахъ;(–лъилъ,–аби);пастбище;NOUN
алахъ;(–лъилъ,–аби);пустое место;ADJF
албом=албум;(албóНлъилъ,–аби);альбом;NOUN
алгьа=б;"(–в I,–й ,–ба мн. I,–р мн. ;pron;LATN
алгьабе;(алгьавé I, алгьайé , алгьабá мн. I, алгьарé мн. );вот;PRCL
алгьабейав;;вот;PRCL
алгьабейай;;вот;PRCL
алгьав̄е;;вот;PRCL
алгьав̄о;;вот;PRCL
алгьай̄е;;вот;PRCL
алгьа=йна;(–н,–нáс̄,–нá,–н̄о,–нēх);оповещать;INFN
алгьа=йна;(–н,–нáс̄,–нá,–н̄о,–нēх);доводить до слуха;INFN
алгьай̄о;;вот;PRCL
алгьан;(алгьáНлъ,–áби);дело;VERB
алгьан;(алгьáНлъ,–áби);событие;NOUN
алгьан;;масд. гл. áлгьина;UNKN
алгьан;(–лъ);слышимость;NOUN
алгьан;(–лъ);сплетня;NOUN
алгьанар;;масд. гл. алгьáйна;UNKN
алгьанар;(–лъ);сообщение;NOUN
алгьарейав;;вот;PRCL
алгьарейай;;вот;PRCL
алгьащда;;так;PRCL
алгьащд̄о=б;;столько;NUMR
алгьащду=б;;такой;ADJF
алгьандавачӀу=б;;незначительный;ADJF
алгьи;;сюда;ADVB
алгьи=ина;(–аᴴ,–áНс̄,–амé,–á/м/о,–ӣнāх);слышать;INFN
алгьи=ина;(–аᴴ,–áНс̄,–амé,–á/м/о,–ӣнāх);узнавать;INFN
алгьалъа̄гьӣс;;находящийся тут;PRTF
алгьалъа̄гьӣс;;отсюда;ADVB
алип;(–лъилъ,–ал);алиф;NOUN
алипа;(–лъ);олифа;NOUN
алмас;(–илъ,–би);алмаз;NOUN
алхӀам;(–лъ);первая сура Корана;ADJF
алхӀамдулил̄агь;;слава Аллаху;NOUN
алча;(–лъ);алыча;NOUN
а̄лагь;(Ал̄́а̄щу/б);Бог;NOUN
а̄л̄ащубгьва̄й;(–лъ,–ал̄́а̄щургьвадари);гусеница;NOUN
а̄л̄ъа̄сгьерах;;отныне;ADVB
а̄л̄ъила;(см. аб);см. аб;UNKN
ал̄ъ;;см. щвáла;UNKN
ал̄ъӣс;;см. щвáлас̄;UNKN
ал̄ъ-сай;;см. щвáла–сāй;UNKN
аман;(амáНлъилъ);помощь;NOUN
аманал̄агь;;боже мой;NOUN
аманал̄агь;;эх;NOUN
аманат;(–илъ,–ал);наказ;NOUN
аман-мадад;(–илъ);помощь;NOUN
американа=д=и;(–у/б);американцы;NOUN
амин;;аминь;INTJ
амин;;Амин;NOUN
амир;(–щу/б,–заби);правитель;NOUN
амро;(–лъилъ,–аби);приказ;NOUN
амро;(–лъилъ,–аби);насилие;NOUN
амуру;(–лъилъ,–аби);приказ;NOUN
амуру;(–лъилъ,–аби);насилие;NOUN
а̄ма;(–лъ,–би);крыша;NOUN
а̄ма;(–лъ,–би);верх;NOUN
а̄ма;;но;INTJ
анах̄а=йла;(–л,–лас̄,–лá,–л̄о,–лēх);расспрашивать;INFN
анах̄а=йла;(–л,–лас̄,–лá,–л̄о,–лēх);побуждать;INFN
анах̄а=йла;(–л,–лас̄,–лá,–л̄о,–лēх);допрашивать;INFN
анах̄алар;;масд. гл. анаOáйла;UNKN
анах̄алар;(–лъ);побуждение;NOUN
анах̄алар;(–лъ);расспросы;NOUN
анах̄алар;(–лъ);допрос;NOUN
анах̄ар;(–лъ);разговор;NOUN
анах̄ар;(–лъ);манера говорить;NOUN
анах̄ар;(–лъ);сплетня;NOUN
анах̄ах̄а=йла;(–л,–лас̄,–лá,–л̄о,–лēх);расспрашивать;INFN
анах̄и=ла;(–ø,–áс̄,–бé,–б/о,–е́̄х);отчитывать;INFN
анах̄и=ла;(–ø,–áс̄,–бé,–б/о,–е́̄х);выступать;INFN
анах̄и=ла;(–ø,–áс̄,–бé,–б/о,–е́̄х);говорить;INFN
ангьов;;см. щутIý/б;UNKN
анд;(–илъ);мелкая полова;ADJF
аᵸд;(–илъ);мелкая полова;ADJF
анд;(–илъ);пепел;NOUN
аᵸд;(–илъ);пепел;NOUN
ани;;здесь;ADVB
анӣс;;отсюда;ADVB
анӣс;;здешний;ADJF
ап;;см. огь;UNKN
ападжалгьу=в;;да смоются его грехи;INTJ
ападжалгьу=в;(–щу/б, –лъилъ,–и);покойный;ADJF
апараг;(–щу/б,–лъилъ,–заби);пришелец;NOUN
апирацийа;(–лъ,–би);операция;NOUN
апрелбо̄с̄Ӏ;(–улалъ);апрель;NOUN
ара;(–лъ/–улъ,–би);колос;NOUN
ара;(–лъ/–улъ,–би);метелка;NOUN
ара-гӀарих;;здесь;ADVB
аратар;(–лъ,–аби);приступ;NOUN
арах̄унар;;масд. гл. арáOунила;UNKN
арах̄унар;(–лъ);колошение;NOUN
арах̄уни=ла;(–ø,–ас̄,–бе,–б/о,–āх);колоситься;INFN
арбагӀзеб;(–зел̄ъ̄илъ,–аби);среда;NOUN
аргъва=йна;(–н,–нас̄,–нá,–н̄о,–нēх);мутить;INFN
аргъвам;;мутный;ADJF
аргъваᵸр;;масд. гл. аргъýна;UNKN
аргъваᵸр;(–лъилъ);помутнение;NOUN
аргъваᵸр;(–лъилъ);мутность;NOUN
аргъунар;;масд. гл. áргъуйна;UNKN
аргъунар;(–лъ);тошнота;NOUN
арейав;;вот;PRCL
арейай;;вот;PRCL
ари;;сюда;ADVB
арми;(–лъ,–би);армия;NOUN
ар̄с;(–илъ,–аби);петля;NOUN
артил;(–лъилъ,–аби);артель;NOUN
артис;(–щу/б,–заби);артист;NOUN
архив;(–лъилъ,–аби);архив;NOUN
адуба;;вниз;ADVB
адубахӣс;;с нижних местностей;NOUN
адубахӣс;;снизу;PREP
архима;(–лъ,–би);туча;NOUN
архулъгуду=в;;одичалый;ADJF
ас;(–илъ,–иби);серебро;NOUN
ас;(–илъ,–иби);деньги;NOUN
аса;(–лъ);иней;NOUN
асалу;(бот.);бодяк;NOUN
асар;(–лъилъ);влияние;NOUN
асас;(–илъ);основа;NOUN
асатина=в;(–щу/б,–ди);осетин;NOUN
асатинари;(–уб);осетины;NOUN
асатина=й;(–лъилъ,–ди);осетинка;NOUN
асахъ;(–илъ,–аби);плата;NOUN
асвалт;(–илъ);асфальт;NOUN
асир;(–щу/б,–лъилъ);пленник;NOUN
аскар;(–лъ,–аби);войско;NOUN
аслийа=б;;основной;ADJF
асло;(–лъ,–би);основа;NOUN
аставпирул̄агь;;господи помилуй;NOUN
астагъпирул̄агь;;господи помилуй;NOUN
асхӀаб;(–щу/б,–заби);сподвижник Мухаммада;NOUN
асхӀаб;(–щу/б,–заби);Асхаб (имя собств. мужское);NOUN
а̄саламугӀалайкум;;здравствуй;VERB
ата;(–лъ);молоко;NOUN
ата;(–лъ);сгусток;NOUN
аталар;(–лъ);масд. гл. áтайла;UNKN
аталар;(–лъ);раскрытие;NOUN
аталъа;(–лъ,–би);корни;NOUN
атар;;масд. гл. áтила;UNKN
атар;(–лъ);раскрытие;NOUN
атата=йла;(–л,–лас̄,–ла,–ли/б/о,–лēх);качать;INFN
абатата=йла;(–л,–лас̄,–ла,–ли/б/о,–лēх);качать;INFN
ататалар;;масд. гл. ататáйла//абататáйла;UNKN
ататалар;(–лъ);качание;NOUN
абататалар;;масд. гл. ататáйла//абататáйла;UNKN
абататалар;(–лъ);качание;NOUN
атв;(áтулъ,–аби);кремень;NOUN
атв;(áтулъ,–аби);порог;NOUN
атв;(áтулъ,–аби);табуретка;NOUN
атв;(áтулъ,–аби);чурка;NOUN
атв;(áтулъ,–аби);срез;NOUN
атвабакьиб;(–улъ,–аби);колонна;NOUN
ати=ла;(–а,–áс̄,–бé,–б/о,–е́̄х);раскрываться;INFN
атистат;(–илъ,–аби);аттестат;NOUN
аткритка;(–лъ,–би);открытка;NOUN
атлас;(–илъ);атлас;NOUN
атличник;(–иб,–заби);отличник;NOUN
атличница;(–лъ,–би);отличница;NOUN
атӀрас;;см. махмáр;UNKN
ахбазан;(–лъ);абрикос;NOUN
ахир;(–лъ);конец;NOUN
ахирарбагӀ;(–илъ,–аби);злополучный час;ADJF
ахират;(–илъ);загробная жизни;ADJF
ахирзамана;(–лъилъ,–би);конец света;NOUN
ахирийа=б;;последний;ADJF
ахил̄а;;в конце концов;NOUN
ахран;(ахраᴴщу/б, ахраᴴзаби);сторож;NOUN
ах̄ату=б;;неудобный;ADJF
ах̄ату=б;;неуклюжий;ADJF
ах̄=б=укӀа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);укладывать;INFN
ах̄букӀалар;;масд. гл. áOбукIайла;UNKN
ах̄букӀалар;(–лъ);укладывание;NOUN
ах̄букӀар;;масд. гл. áOбукIула;UNKN
ах̄букӀар;(–лъ);лежание;NOUN
ах̄=б=укӀ=ула;(–а,–ас̄,–абé,–а/б/о,–ēх);ложиться;INFN
